id,song_spotify,artist_spotify,album,release_date,popularity
2hNQDbZcN3vqRAuwiz7poI,Tucson Too Late,Jordan Davis,Bluebird Days,2023-02-17,75
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,Saturn,2024-02-22,94
1kMWJ16W3Yk3hyNmaM7jfQ,Holy Smokes,Bailey Zimmerman,Holy Smokes,2024-02-23,77
2fB5YRuD88drKpCXQOAk03,Love On,Selena Gomez,Love On,2024-02-22,79
7gM0bjWc2LpgZTihy4U18P,Old Days,Lil Durk,Old Days,2024-02-23,67
2qvGI2uUNgNheWnfxQr25W,dont let me go,mgk,dont let me go,2024-02-21,74
2DVHIJA2bLas9cGLmHmUsY,Wine Into Whiskey,Tucker Wetmore,Wine Into Whiskey,2024-02-23,79
5GCU2LJWPzoP8Q6nexs61z,Let's Go,Key Glock,Glockoma 2 (Deluxe),2023-06-23,81
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,EASY,2024-02-19,88
6Qb7YsAqH4wWFUMbGsCpap,Training Season,Dua Lipa,Training Season,2024-02-15,92
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,Whatever She Wants,2024-02-13,90
5NAOhPAZ57eFAXr3qatS6i,Breathe,Yeat,2093,2024-02-16,86
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,2022-09-16,99
4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),KAROL G,CONTIGO (with Tiësto),2024-02-15,89
7yfRb4seXT7w8zVMW0dXNa,Bittersweet,Gunna,Bittersweet,2024-02-16,68
2dyAiC9k6s0mWnMSQRQJGd,Psycho CEO,Yeat,2093,2024-02-16,70
3FqUPvubYeRCMsdJ02QyZR,TÚ NAME,Fuerza Regida,Dolido Pero No Arrepentido,2024-02-09,90
0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,2024-02-11,92
3w0w2T288dec0mgeZZqoNN,CARNIVAL,¥$,VULTURES 1,2024-02-09,96
3ZXb7BJtQpt5oHscNU2MG1,Yeah! (Instrumental),DJ Cover This,Yeah! ((Instrumental) Originally Performed by Usher featuring Lil' Jon & Ludacris),2010-07-06,5
5tEaVciE2GnR28aN6W9cLS,FUK SUMN,¥$,VULTURES 1,2024-02-09,85
