song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Love Lost,Mac Miller,Love Lost_Mac Miller,0.735,0.812,2.0,-4.417,1.0,0.151,0.528,0.0,0.186,0.584,109.829,audio_features,2z9iuAxKv4TTeCrPAxxKg9,spotify:track:2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/tracks/2z9iuAxKv4TTeCrPAxxKg9,https://api.spotify.com/v1/audio-analysis/2z9iuAxKv4TTeCrPAxxKg9,162876.0,4.0
Vette Motors,YoungBoy Never Broke Again,Vette Motors_YoungBoy Never Broke Again,0.83,0.644,10.0,-5.431,0.0,0.407,0.0298,0.0,0.11,0.227,155.103,audio_features,0HrWshW3SuFJ6nKS9ba9Mh,spotify:track:0HrWshW3SuFJ6nKS9ba9Mh,https://api.spotify.com/v1/tracks/0HrWshW3SuFJ6nKS9ba9Mh,https://api.spotify.com/v1/audio-analysis/0HrWshW3SuFJ6nKS9ba9Mh,173419.0,4.0
Are You Entertained,Russ & Ed Sheeran,Are You Entertained_Russ & Ed Sheeran,0.587,0.61,10.0,-6.881,0.0,0.234,0.0402,0.0,0.167,0.556,130.063,audio_features,5bLGQqcpsz5ISWeihZfJnR,spotify:track:5bLGQqcpsz5ISWeihZfJnR,https://api.spotify.com/v1/tracks/5bLGQqcpsz5ISWeihZfJnR,https://api.spotify.com/v1/audio-analysis/5bLGQqcpsz5ISWeihZfJnR,156083.0,4.0
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52_Bizarrap & Quevedo",0.621,0.782,2.0,-5.548,1.0,0.044,0.0125,0.033,0.23,0.55,128.033,audio_features,2tTmW7RDtMQtBk7m2rYeSw,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,198938.0,4.0
2 Be Loved (Am I Ready),Lizzo,2 Be Loved (Am I Ready)_Lizzo,0.721,0.769,7.0,-4.111,1.0,0.105,0.0922,0.0,0.0817,0.915,155.932,audio_features,2rmwqU7yzTvzkiaRV53DpT,spotify:track:2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/tracks/2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/audio-analysis/2rmwqU7yzTvzkiaRV53DpT,187108.0,4.0
Truth About You,Mitchell Tenpenny,Truth About You_Mitchell Tenpenny,0.492,0.708,10.0,-4.639,1.0,0.0334,0.0975,0.0,0.12,0.697,161.989,audio_features,4Qum1kECNQrpREev5fvAQ4,spotify:track:4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/tracks/4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/audio-analysis/4Qum1kECNQrpREev5fvAQ4,203037.0,4.0
Free Mind,Tems,Free Mind_Tems,0.562,0.463,6.0,-7.478,1.0,0.0787,0.442,0.000145,0.157,0.416,125.15,audio_features,2mzM4Y0Rnx2BDZqRnhQ5Q6,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/tracks/2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/audio-analysis/2mzM4Y0Rnx2BDZqRnhQ5Q6,247579.0,5.0
At The End Of A Bar,Chris Young With Mitchell Tenpenny,At The End Of A Bar_Chris Young With Mitchell Tenpenny,0.494,0.782,3.0,-4.228,1.0,0.0409,0.0443,0.0,0.0921,0.44,75.932,audio_features,2NYOqKy4VX6dqVtzrv1Cx9,spotify:track:2NYOqKy4VX6dqVtzrv1Cx9,https://api.spotify.com/v1/tracks/2NYOqKy4VX6dqVtzrv1Cx9,https://api.spotify.com/v1/audio-analysis/2NYOqKy4VX6dqVtzrv1Cx9,186373.0,4.0
Arson,j-hope,Arson_j-hope,0.938,0.798,1.0,-3.998,1.0,0.103,0.00813,7.03e-05,0.146,0.265,99.992,audio_features,2QWEMqQMJR1KDf6hDjJOs6,spotify:track:2QWEMqQMJR1KDf6hDjJOs6,https://api.spotify.com/v1/tracks/2QWEMqQMJR1KDf6hDjJOs6,https://api.spotify.com/v1/audio-analysis/2QWEMqQMJR1KDf6hDjJOs6,159762.0,4.0
Pick Me Up,Gabby Barrett,Pick Me Up_Gabby Barrett,0.472,0.701,2.0,-4.563,1.0,0.0369,0.0387,0.0,0.107,0.515,79.805,audio_features,7xNYZeFtrB05pi9tc6lEeb,spotify:track:7xNYZeFtrB05pi9tc6lEeb,https://api.spotify.com/v1/tracks/7xNYZeFtrB05pi9tc6lEeb,https://api.spotify.com/v1/audio-analysis/7xNYZeFtrB05pi9tc6lEeb,169440.0,4.0
All Mine,Brent Faiyaz,All Mine_Brent Faiyaz,0.617,0.378,9.0,-8.54,1.0,0.0315,0.428,9.16e-05,0.11,0.22,141.967,audio_features,3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,216063.0,4.0
Loose Change,Brent Faiyaz,Loose Change_Brent Faiyaz,0.574,0.369,1.0,-8.931,0.0,0.0814,0.753,0.0,0.147,0.44,84.975,audio_features,00imgaPlYRrMGn9o83hfmk,spotify:track:00imgaPlYRrMGn9o83hfmk,https://api.spotify.com/v1/tracks/00imgaPlYRrMGn9o83hfmk,https://api.spotify.com/v1/audio-analysis/00imgaPlYRrMGn9o83hfmk,226011.0,4.0
Price Of Fame,Brent Faiyaz,Price Of Fame_Brent Faiyaz,0.428,0.367,9.0,-9.905,1.0,0.0914,0.132,0.0,0.149,0.174,71.184,audio_features,4xKQtLZn8m2d2KJy13ZujE,spotify:track:4xKQtLZn8m2d2KJy13ZujE,https://api.spotify.com/v1/tracks/4xKQtLZn8m2d2KJy13ZujE,https://api.spotify.com/v1/audio-analysis/4xKQtLZn8m2d2KJy13ZujE,379004.0,4.0
Betty (Get Money),Yung Gravy,Betty (Get Money)_Yung Gravy,0.723,0.772,1.0,-6.784,1.0,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,audio_features,4cacyP5c3PMlfnyjpg13xW,spotify:track:4cacyP5c3PMlfnyjpg13xW,https://api.spotify.com/v1/tracks/4cacyP5c3PMlfnyjpg13xW,https://api.spotify.com/v1/audio-analysis/4cacyP5c3PMlfnyjpg13xW,146471.0,4.0
Rolling Stone,Brent Faiyaz,Rolling Stone_Brent Faiyaz,0.462,0.273,11.0,-11.768,0.0,0.0622,0.903,3.71e-05,0.101,0.334,141.33,audio_features,0e0JshRej2NwT7jahEmv52,spotify:track:0e0JshRej2NwT7jahEmv52,https://api.spotify.com/v1/tracks/0e0JshRej2NwT7jahEmv52,https://api.spotify.com/v1/audio-analysis/0e0JshRej2NwT7jahEmv52,162007.0,3.0
Last Last,Burna Boy,Last Last_Burna Boy,0.795,0.565,3.0,-4.457,0.0,0.0948,0.131,0.0,0.0802,0.55,87.925,audio_features,5YbPxJwPfrj7uswNwoF1pJ,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,https://api.spotify.com/v1/tracks/5YbPxJwPfrj7uswNwoF1pJ,https://api.spotify.com/v1/audio-analysis/5YbPxJwPfrj7uswNwoF1pJ,172342.0,4.0
Ghetto Gatsby,Brent Faiyaz Featuring Alicia Keys,Ghetto Gatsby_Brent Faiyaz Featuring Alicia Keys,0.524,0.233,3.0,-12.991,0.0,0.104,0.869,4.59e-06,0.369,0.585,175.805,audio_features,2krESug6AyfOL07tlaGwts,spotify:track:2krESug6AyfOL07tlaGwts,https://api.spotify.com/v1/tracks/2krESug6AyfOL07tlaGwts,https://api.spotify.com/v1/audio-analysis/2krESug6AyfOL07tlaGwts,198005.0,4.0
Heal Your Heart (Interlude),Brent Faiyaz,Heal Your Heart (Interlude)_Brent Faiyaz,0.287,0.332,1.0,-10.15,0.0,0.0433,0.678,0.00375,0.11,0.204,177.804,audio_features,6MF5JoJYj5uK07Si6fRAPM,spotify:track:6MF5JoJYj5uK07Si6fRAPM,https://api.spotify.com/v1/tracks/6MF5JoJYj5uK07Si6fRAPM,https://api.spotify.com/v1/audio-analysis/6MF5JoJYj5uK07Si6fRAPM,75043.0,4.0
FYTB,Brent Faiyaz Featuring Joony,FYTB_Brent Faiyaz Featuring Joony,0.783,0.48,3.0,-9.182,0.0,0.251,0.258,4.73e-06,0.305,0.364,133.086,audio_features,48oQGynnS8RLiYRFsJ6pDL,spotify:track:48oQGynnS8RLiYRFsJ6pDL,https://api.spotify.com/v1/tracks/48oQGynnS8RLiYRFsJ6pDL,https://api.spotify.com/v1/audio-analysis/48oQGynnS8RLiYRFsJ6pDL,198004.0,4.0
Hot Shit,"Cardi B, Ye & Lil Durk","Hot Shit_Cardi B, Ye & Lil Durk",0.878,0.685,9.0,-5.28,1.0,0.225,0.00152,0.0,0.0753,0.523,157.003,audio_features,3uJFmluXzYedoJcvhpC1AW,spotify:track:3uJFmluXzYedoJcvhpC1AW,https://api.spotify.com/v1/tracks/3uJFmluXzYedoJcvhpC1AW,https://api.spotify.com/v1/audio-analysis/3uJFmluXzYedoJcvhpC1AW,211649.0,4.0
Master Of Puppets,Metallica,Master Of Puppets_Metallica,0.539,0.828,4.0,-9.108,0.0,0.035,0.00067,0.421,0.154,0.562,105.25,audio_features,54bm2e3tk8cliUz3VSdCPZ,spotify:track:54bm2e3tk8cliUz3VSdCPZ,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ,515387.0,4.0
Son Of A Sinner,Jelly Roll,Son Of A Sinner_Jelly Roll,0.365,0.541,7.0,-7.489,1.0,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,audio_features,6ngGiVX91DRmGDH4G5EgeO,spotify:track:6ngGiVX91DRmGDH4G5EgeO,https://api.spotify.com/v1/tracks/6ngGiVX91DRmGDH4G5EgeO,https://api.spotify.com/v1/audio-analysis/6ngGiVX91DRmGDH4G5EgeO,232093.0,4.0
Good Love,City Girls & Usher,Good Love_City Girls & Usher,0.557,0.843,7.0,-4.519,1.0,0.0875,0.00132,0.0,0.109,0.811,129.511,audio_features,52JFc40b28XJDROR3c4uAr,spotify:track:52JFc40b28XJDROR3c4uAr,https://api.spotify.com/v1/tracks/52JFc40b28XJDROR3c4uAr,https://api.spotify.com/v1/audio-analysis/52JFc40b28XJDROR3c4uAr,232787.0,4.0
Wishful Drinking,Ingrid Andress With Sam Hunt,Wishful Drinking_Ingrid Andress With Sam Hunt,0.678,0.528,10.0,-7.317,1.0,0.0551,0.289,0.0,0.0734,0.614,79.018,audio_features,3HGnIIdHYIbkowzLk8UHbE,spotify:track:3HGnIIdHYIbkowzLk8UHbE,https://api.spotify.com/v1/tracks/3HGnIIdHYIbkowzLk8UHbE,https://api.spotify.com/v1/audio-analysis/3HGnIIdHYIbkowzLk8UHbE,194545.0,4.0
Country On,Luke Bryan,Country On_Luke Bryan,0.52,0.751,5.0,-5.064,1.0,0.0551,0.171,7.4e-06,0.0624,0.519,156.044,audio_features,1tRxwf8Q0AcshfHuaD86Yt,spotify:track:1tRxwf8Q0AcshfHuaD86Yt,https://api.spotify.com/v1/tracks/1tRxwf8Q0AcshfHuaD86Yt,https://api.spotify.com/v1/audio-analysis/1tRxwf8Q0AcshfHuaD86Yt,236456.0,4.0
More,j-hope,More_j-hope,0.783,0.722,2.0,-4.864,1.0,0.0357,0.00537,0.00209,0.105,0.306,97.031,audio_features,7GARzfC1mwhDuk4t9WOACq,spotify:track:7GARzfC1mwhDuk4t9WOACq,https://api.spotify.com/v1/tracks/7GARzfC1mwhDuk4t9WOACq,https://api.spotify.com/v1/audio-analysis/7GARzfC1mwhDuk4t9WOACq,180022.0,4.0
Numb,Marshmello & Khalid,Numb_Marshmello & Khalid,0.912,0.774,0.0,-4.673,0.0,0.0455,0.121,0.0127,0.101,0.632,119.966,audio_features,10xV5l9nhLvFpR8mqzs0bL,spotify:track:10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/tracks/10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/audio-analysis/10xV5l9nhLvFpR8mqzs0bL,155589.0,4.0
Best Thing Since Backroads,Jake Owen,Best Thing Since Backroads_Jake Owen,0.512,0.841,7.0,-3.8,1.0,0.0309,0.0424,0.000257,0.113,0.33,156.077,audio_features,0R1REdJZIDy7IS3DybdBce,spotify:track:0R1REdJZIDy7IS3DybdBce,https://api.spotify.com/v1/tracks/0R1REdJZIDy7IS3DybdBce,https://api.spotify.com/v1/audio-analysis/0R1REdJZIDy7IS3DybdBce,187433.0,4.0
Unstoppable,Sia,Unstoppable_Sia,0.468,0.779,9.0,-4.839,1.0,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,1yvMUkIOTeUNtNWlWRgANS,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/audio-analysis/1yvMUkIOTeUNtNWlWRgANS,217747.0,4.0
Rich Minion,Yeat,Rich Minion_Yeat,0.639,0.518,7.0,-13.892,0.0,0.312,0.108,0.0,0.307,0.497,145.058,audio_features,1JIgFmCP5OCTEGV866WP3b,spotify:track:1JIgFmCP5OCTEGV866WP3b,https://api.spotify.com/v1/tracks/1JIgFmCP5OCTEGV866WP3b,https://api.spotify.com/v1/audio-analysis/1JIgFmCP5OCTEGV866WP3b,165517.0,4.0
Bad Habit,Steve Lacy,Bad Habit_Steve Lacy,0.686,0.507,1.0,-7.097,1.0,0.0357,0.626,7.51e-05,0.383,0.69,168.955,audio_features,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/tracks/5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/audio-analysis/5CM4UuQ9Gnd6K2YyKGPMoK,232115.0,4.0
Left And Right,Charlie Puth Featuring Jung Kook,Left And Right_Charlie Puth Featuring Jung Kook,0.881,0.592,2.0,-4.898,1.0,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,audio_features,5Odq8ohlgIbQKMZivbWkEo,spotify:track:5Odq8ohlgIbQKMZivbWkEo,https://api.spotify.com/v1/tracks/5Odq8ohlgIbQKMZivbWkEo,https://api.spotify.com/v1/audio-analysis/5Odq8ohlgIbQKMZivbWkEo,154487.0,4.0
Carolina,Taylor Swift,Carolina_Taylor Swift,0.476,0.189,11.0,-13.777,0.0,0.0329,0.904,4.52e-06,0.254,0.324,115.851,audio_features,4axSuOg3BqsowKjRpj59RU,spotify:track:4axSuOg3BqsowKjRpj59RU,https://api.spotify.com/v1/tracks/4axSuOg3BqsowKjRpj59RU,https://api.spotify.com/v1/audio-analysis/4axSuOg3BqsowKjRpj59RU,264439.0,4.0
Late To Da Party (F*CK BET),Lil Nas X & Youngboy Never Broke Again,Late To Da Party (F*CK BET)_Lil Nas X & Youngboy Never Broke Again,0.872,0.422,1.0,-7.415,0.0,0.363,0.0254,0.0,0.109,0.778,149.956,audio_features,3GbQcjKWT7eVpUfzqwUjxv,spotify:track:3GbQcjKWT7eVpUfzqwUjxv,https://api.spotify.com/v1/tracks/3GbQcjKWT7eVpUfzqwUjxv,https://api.spotify.com/v1/audio-analysis/3GbQcjKWT7eVpUfzqwUjxv,180666.0,4.0
From The D 2 The LBC,Eminem & Snoop Dogg,From The D 2 The LBC_Eminem & Snoop Dogg,0.73,0.785,9.0,-7.986,0.0,0.243,0.105,0.0,0.0445,0.596,82.037,audio_features,7My9ca9QEIR8MvIOdIrTWA,spotify:track:7My9ca9QEIR8MvIOdIrTWA,https://api.spotify.com/v1/tracks/7My9ca9QEIR8MvIOdIrTWA,https://api.spotify.com/v1/audio-analysis/7My9ca9QEIR8MvIOdIrTWA,215120.0,4.0
Call Me Everyday,Chris Brown Featuring WizKid,Call Me Everyday_Chris Brown Featuring WizKid,0.73,0.634,4.0,-7.191,0.0,0.181,0.107,1.44e-05,0.0976,0.798,171.874,audio_features,1B5I5yqLpVI5EosZS6bJFs,spotify:track:1B5I5yqLpVI5EosZS6bJFs,https://api.spotify.com/v1/tracks/1B5I5yqLpVI5EosZS6bJFs,https://api.spotify.com/v1/audio-analysis/1B5I5yqLpVI5EosZS6bJFs,146840.0,4.0
Psychic,Chris Brown Featuring Jack Harlow,Psychic_Chris Brown Featuring Jack Harlow,0.739,0.58,1.0,-7.414,1.0,0.0637,0.0395,0.0,0.114,0.452,96.501,audio_features,64pUytZWfCpeeMBN0XAadF,spotify:track:64pUytZWfCpeeMBN0XAadF,https://api.spotify.com/v1/tracks/64pUytZWfCpeeMBN0XAadF,https://api.spotify.com/v1/audio-analysis/64pUytZWfCpeeMBN0XAadF,220760.0,4.0
WE (Warm Embrace),Chris Brown,WE (Warm Embrace)_Chris Brown,0.695,0.603,1.0,-6.543,1.0,0.104,0.0992,0.0,0.084,0.9,86.987,audio_features,0sn26qH64SDVoKo2Gm7lYV,spotify:track:0sn26qH64SDVoKo2Gm7lYV,https://api.spotify.com/v1/tracks/0sn26qH64SDVoKo2Gm7lYV,https://api.spotify.com/v1/audio-analysis/0sn26qH64SDVoKo2Gm7lYV,234947.0,4.0
Burglars & Murderers,Lil Durk Featuring EST Gee,Burglars & Murderers_Lil Durk Featuring EST Gee,0.774,0.551,1.0,-5.862,1.0,0.0854,0.0334,0.0,0.109,0.0858,137.932,audio_features,6JbrcjoMVBBNZllVOiHBcU,spotify:track:6JbrcjoMVBBNZllVOiHBcU,https://api.spotify.com/v1/tracks/6JbrcjoMVBBNZllVOiHBcU,https://api.spotify.com/v1/audio-analysis/6JbrcjoMVBBNZllVOiHBcU,160034.0,4.0
Addicted,Chris Brown Featuring Lil Baby,Addicted_Chris Brown Featuring Lil Baby,0.654,0.532,5.0,-9.07,0.0,0.143,0.00892,0.0,0.104,0.389,85.016,audio_features,1oNm8t4M05eHVX6KCfRaG8,spotify:track:1oNm8t4M05eHVX6KCfRaG8,https://api.spotify.com/v1/tracks/1oNm8t4M05eHVX6KCfRaG8,https://api.spotify.com/v1/audio-analysis/1oNm8t4M05eHVX6KCfRaG8,218267.0,4.0
Did Shit To Me,Lil Durk Featuring Doodie Lo,Did Shit To Me_Lil Durk Featuring Doodie Lo,0.727,0.833,10.0,-4.439,0.0,0.315,0.0257,0.0,0.327,0.688,160.045,audio_features,68hn4O7tjgp4ITx5dSpuNL,spotify:track:68hn4O7tjgp4ITx5dSpuNL,https://api.spotify.com/v1/tracks/68hn4O7tjgp4ITx5dSpuNL,https://api.spotify.com/v1/audio-analysis/68hn4O7tjgp4ITx5dSpuNL,156000.0,4.0
Possessive,Chris Brown Featuring Lil Wayne & BLEU,Possessive_Chris Brown Featuring Lil Wayne & BLEU,0.734,0.398,9.0,-9.453,1.0,0.243,0.0136,0.000158,0.111,0.243,91.941,audio_features,56Z1Jhb8RwuCSpRO72yZox,spotify:track:56Z1Jhb8RwuCSpRO72yZox,https://api.spotify.com/v1/tracks/56Z1Jhb8RwuCSpRO72yZox,https://api.spotify.com/v1/audio-analysis/56Z1Jhb8RwuCSpRO72yZox,233747.0,4.0
Jimmy Cooks,Drake Featuring 21 Savage,Jimmy Cooks_Drake Featuring 21 Savage,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365.0,4.0
Sticky,Drake,Sticky_Drake,0.853,0.495,6.0,-14.63,1.0,0.14,0.0917,0.000217,0.0844,0.0774,137.027,audio_features,4rmVZajAF7PkrCagGPHbqa,spotify:track:4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/tracks/4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/audio-analysis/4rmVZajAF7PkrCagGPHbqa,243228.0,4.0
Falling Back,Drake,Falling Back_Drake,0.718,0.758,10.0,-8.29,1.0,0.0703,0.238,0.00653,0.11,0.349,118.989,audio_features,1vbn9fEyw1IYhqgZJdu9ZB,spotify:track:1vbn9fEyw1IYhqgZJdu9ZB,https://api.spotify.com/v1/tracks/1vbn9fEyw1IYhqgZJdu9ZB,https://api.spotify.com/v1/audio-analysis/1vbn9fEyw1IYhqgZJdu9ZB,266179.0,4.0
Texts Go Green,Drake,Texts Go Green_Drake,0.765,0.627,0.0,-4.607,1.0,0.0622,0.000916,0.195,0.0847,0.536,118.997,audio_features,4FIgHqXd4KkOwxrGeLDYM2,spotify:track:4FIgHqXd4KkOwxrGeLDYM2,https://api.spotify.com/v1/tracks/4FIgHqXd4KkOwxrGeLDYM2,https://api.spotify.com/v1/audio-analysis/4FIgHqXd4KkOwxrGeLDYM2,308820.0,4.0
Massive,Drake,Massive_Drake,0.499,0.671,4.0,-6.774,0.0,0.0561,0.114,0.0169,0.148,0.0557,124.994,audio_features,28JBD8p18xNuOfyV7Cotdn,spotify:track:28JBD8p18xNuOfyV7Cotdn,https://api.spotify.com/v1/tracks/28JBD8p18xNuOfyV7Cotdn,https://api.spotify.com/v1/audio-analysis/28JBD8p18xNuOfyV7Cotdn,336924.0,3.0
Break My Soul,Beyonce,Break My Soul_Beyonce,0.693,0.887,1.0,-5.039,0.0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,audio_features,5pyoxDZ1PX0KxBxiRVxA4U,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,https://api.spotify.com/v1/tracks/5pyoxDZ1PX0KxBxiRVxA4U,https://api.spotify.com/v1/audio-analysis/5pyoxDZ1PX0KxBxiRVxA4U,278282.0,4.0
The Kind Of Love We Make,Luke Combs,The Kind Of Love We Make_Luke Combs,0.608,0.745,1.0,-4.13,1.0,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427.0,4.0
Calling My Name,Drake,Calling My Name_Drake,0.826,0.276,11.0,-11.227,0.0,0.266,0.62,8.53e-05,0.118,0.484,123.985,audio_features,7sT7kZEYd1MrmzLLIRVZas,spotify:track:7sT7kZEYd1MrmzLLIRVZas,https://api.spotify.com/v1/tracks/7sT7kZEYd1MrmzLLIRVZas,https://api.spotify.com/v1/audio-analysis/7sT7kZEYd1MrmzLLIRVZas,129965.0,4.0
A Keeper,Drake,A Keeper_Drake,0.6,0.482,1.0,-11.596,1.0,0.0701,0.512,0.000104,0.115,0.323,121.909,audio_features,0nAZGkBGKQCXyaoSJfRhC1,spotify:track:0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/tracks/0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/audio-analysis/0nAZGkBGKQCXyaoSJfRhC1,173097.0,4.0
Currents,Drake,Currents_Drake,0.883,0.283,0.0,-12.653,1.0,0.113,0.104,0.00167,0.0935,0.416,122.013,audio_features,1eCFz60zd7mAXgWLapPd9B,spotify:track:1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/tracks/1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/audio-analysis/1eCFz60zd7mAXgWLapPd9B,157390.0,4.0
Flight's Booked,Drake,Flight's Booked_Drake,0.593,0.41,3.0,-13.097,0.0,0.0531,0.886,0.0993,0.115,0.201,122.584,audio_features,6Yj7Zhxt73uvwFFvzQXdxO,spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,https://api.spotify.com/v1/tracks/6Yj7Zhxt73uvwFFvzQXdxO,https://api.spotify.com/v1/audio-analysis/6Yj7Zhxt73uvwFFvzQXdxO,254407.0,4.0
Overdrive,Drake,Overdrive_Drake,0.502,0.645,2.0,-10.611,0.0,0.122,0.444,0.00964,0.107,0.518,109.739,audio_features,7hRlTK3mgFTBEjX7DjqBsI,spotify:track:7hRlTK3mgFTBEjX7DjqBsI,https://api.spotify.com/v1/tracks/7hRlTK3mgFTBEjX7DjqBsI,https://api.spotify.com/v1/audio-analysis/7hRlTK3mgFTBEjX7DjqBsI,202451.0,4.0
Liability,Drake,Liability_Drake,0.557,0.706,0.0,-6.592,1.0,0.0649,0.268,0.0,0.132,0.582,105.013,audio_features,2vy9Ry1TNjCD85TiCbTz0r,spotify:track:2vy9Ry1TNjCD85TiCbTz0r,https://api.spotify.com/v1/tracks/2vy9Ry1TNjCD85TiCbTz0r,https://api.spotify.com/v1/audio-analysis/2vy9Ry1TNjCD85TiCbTz0r,237933.0,4.0
U-Digg,"Lil Baby, 42 Dugg & Veeze","U-Digg_Lil Baby, 42 Dugg & Veeze",0.824,0.583,1.0,-6.537,1.0,0.147,0.00253,0.0,0.266,0.154,147.496,audio_features,0b7UwotRCrS7qBoLDjfvSY,spotify:track:0b7UwotRCrS7qBoLDjfvSY,https://api.spotify.com/v1/tracks/0b7UwotRCrS7qBoLDjfvSY,https://api.spotify.com/v1/audio-analysis/0b7UwotRCrS7qBoLDjfvSY,235501.0,4.0
Down Hill,Drake,Down Hill_Drake,0.718,0.319,3.0,-11.261,1.0,0.0435,0.965,0.00036,0.0895,0.639,109.994,audio_features,3N3d4OWbPVxTQVBFqNyykk,spotify:track:3N3d4OWbPVxTQVBFqNyykk,https://api.spotify.com/v1/tracks/3N3d4OWbPVxTQVBFqNyykk,https://api.spotify.com/v1/audio-analysis/3N3d4OWbPVxTQVBFqNyykk,250865.0,4.0
Tie That Binds,Drake,Tie That Binds_Drake,0.775,0.688,4.0,-10.912,0.0,0.0593,0.0176,0.0917,0.108,0.284,120.017,audio_features,1XsRwo2it6QHdV2OiT6IzF,spotify:track:1XsRwo2it6QHdV2OiT6IzF,https://api.spotify.com/v1/tracks/1XsRwo2it6QHdV2OiT6IzF,https://api.spotify.com/v1/audio-analysis/1XsRwo2it6QHdV2OiT6IzF,336005.0,4.0
Wild As Her,Corey Kent,Wild As Her_Corey Kent,0.5,0.748,0.0,-5.927,1.0,0.0364,0.00291,0.0,0.112,0.448,148.009,audio_features,3kXH9BQq0TyNliiP1MIE6N,spotify:track:3kXH9BQq0TyNliiP1MIE6N,https://api.spotify.com/v1/tracks/3kXH9BQq0TyNliiP1MIE6N,https://api.spotify.com/v1/audio-analysis/3kXH9BQq0TyNliiP1MIE6N,201067.0,4.0
Glimpse Of Us,Joji,Glimpse Of Us_Joji,0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,233456.0,3.0
Yet To Come,BTS,Yet To Come_BTS,0.559,0.885,1.0,-4.515,1.0,0.189,0.0432,0.0,0.333,0.683,172.029,audio_features,10SRMwb9EuVS1K9rYsBfHQ,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,https://api.spotify.com/v1/tracks/10SRMwb9EuVS1K9rYsBfHQ,https://api.spotify.com/v1/audio-analysis/10SRMwb9EuVS1K9rYsBfHQ,193594.0,4.0
