song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
South To West,Gunna,South To West_Gunna,0.884,0.675,5.0,-7.209,0.0,0.185,0.134,0.0,0.13,0.452,133.963,audio_features,7rEUuRanwV9piOwwPKxPIM,spotify:track:7rEUuRanwV9piOwwPKxPIM,https://api.spotify.com/v1/tracks/7rEUuRanwV9piOwwPKxPIM,https://api.spotify.com/v1/audio-analysis/7rEUuRanwV9piOwwPKxPIM,122693.0,4.0
You & Me,Gunna & Chloe,You & Me_Gunna & Chloe,0.507,0.691,4.0,-5.513,1.0,0.192,0.384,0.0,0.0857,0.621,145.917,audio_features,0nD9zX0pnjOGhwZbCtMSGR,spotify:track:0nD9zX0pnjOGhwZbCtMSGR,https://api.spotify.com/v1/tracks/0nD9zX0pnjOGhwZbCtMSGR,https://api.spotify.com/v1/audio-analysis/0nD9zX0pnjOGhwZbCtMSGR,188677.0,4.0
Starry Eyes,The Weeknd,Starry Eyes_The Weeknd,0.309,0.418,9.0,-8.622,0.0,0.031,0.465,7.58e-05,0.295,0.146,134.23,audio_features,6zzdyvVWjGrQBraSvuqJPY,spotify:track:6zzdyvVWjGrQBraSvuqJPY,https://api.spotify.com/v1/tracks/6zzdyvVWjGrQBraSvuqJPY,https://api.spotify.com/v1/audio-analysis/6zzdyvVWjGrQBraSvuqJPY,148000.0,4.0
Don't Break My Heart,The Weeknd,Don't Break My Heart_The Weeknd,0.767,0.618,10.0,-7.163,1.0,0.032,0.31,0.0,0.179,0.243,121.959,audio_features,6a4GH1gljLL7VvmO9u5O92,spotify:track:6a4GH1gljLL7VvmO9u5O92,https://api.spotify.com/v1/tracks/6a4GH1gljLL7VvmO9u5O92,https://api.spotify.com/v1/audio-analysis/6a4GH1gljLL7VvmO9u5O92,205469.0,4.0
Flooded,Gunna,Flooded_Gunna,0.895,0.573,2.0,-8.332,0.0,0.0881,0.194,0.0,0.0799,0.585,119.983,audio_features,3bOEO8nom7HhWQ3mavmjoM,spotify:track:3bOEO8nom7HhWQ3mavmjoM,https://api.spotify.com/v1/tracks/3bOEO8nom7HhWQ3mavmjoM,https://api.spotify.com/v1/audio-analysis/3bOEO8nom7HhWQ3mavmjoM,152000.0,4.0
Die Alone,Gunna & Chris Brown Featuring Yung Bleu,Die Alone_Gunna & Chris Brown Featuring Yung Bleu,0.588,0.402,10.0,-10.812,1.0,0.251,0.181,0.0,0.121,0.216,175.667,audio_features,4LkT6eAaE0ewY21VHfKoBv,spotify:track:4LkT6eAaE0ewY21VHfKoBv,https://api.spotify.com/v1/tracks/4LkT6eAaE0ewY21VHfKoBv,https://api.spotify.com/v1/audio-analysis/4LkT6eAaE0ewY21VHfKoBv,261867.0,4.0
Every Angel Is Terrifying,The Weeknd,Every Angel Is Terrifying_The Weeknd,0.447,0.959,0.0,-5.59,1.0,0.348,0.109,2.75e-05,0.0498,0.46,118.167,audio_features,3vJcz8exedHCjQ9ed95NqU,spotify:track:3vJcz8exedHCjQ9ed95NqU,https://api.spotify.com/v1/tracks/3vJcz8exedHCjQ9ed95NqU,https://api.spotify.com/v1/audio-analysis/3vJcz8exedHCjQ9ed95NqU,167256.0,4.0
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast","The Family Madrigal_Stephanie Beatriz, Olga Merediz & Encanto Cast",0.594,0.628,1.0,-6.345,1.0,0.359,0.12,0.0,0.0582,0.556,141.391,audio_features,4b1yxSdlumA8N4fEk4UOZp,spotify:track:4b1yxSdlumA8N4fEk4UOZp,https://api.spotify.com/v1/tracks/4b1yxSdlumA8N4fEk4UOZp,https://api.spotify.com/v1/audio-analysis/4b1yxSdlumA8N4fEk4UOZp,257213.0,4.0
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?_Diane Guerrero & Stephanie Beatriz,0.718,0.709,4.0,-5.568,1.0,0.039,0.258,0.0,0.101,0.54,119.974,audio_features,3XoYqtiWHhsk59frZupImG,spotify:track:3XoYqtiWHhsk59frZupImG,https://api.spotify.com/v1/tracks/3XoYqtiWHhsk59frZupImG,https://api.spotify.com/v1/audio-analysis/3XoYqtiWHhsk59frZupImG,179427.0,4.0
Flower Shops,ERNEST Featuring Morgan Wallen,Flower Shops_ERNEST Featuring Morgan Wallen,0.527,0.461,7.0,-5.908,1.0,0.0269,0.118,0.0,0.0831,0.227,128.153,audio_features,2ccuOtUjIyx3tPcsnpeBzJ,spotify:track:2ccuOtUjIyx3tPcsnpeBzJ,https://api.spotify.com/v1/tracks/2ccuOtUjIyx3tPcsnpeBzJ,https://api.spotify.com/v1/audio-analysis/2ccuOtUjIyx3tPcsnpeBzJ,214405.0,3.0
