date,rank,song,artist,pk
2022-09-10,46,Provenza,Karol G,Provenza_Karol G
2022-09-10,47,Left And Right,Charlie Puth Featuring Jung Kook,Left And Right_Charlie Puth Featuring Jung Kook
2022-09-10,48,Numb Little Bug,Em Beihold,Numb Little Bug_Em Beihold
2022-09-10,49,Use This Gospel (Remix),DJ Khaled Featuring Kanye West & Eminem,Use This Gospel (Remix)_DJ Khaled Featuring Kanye West & Eminem
2022-09-10,50,Unstoppable,Sia,Unstoppable_Sia
2022-09-10,51,Wishful Drinking,Ingrid Andress With Sam Hunt,Wishful Drinking_Ingrid Andress With Sam Hunt
2022-09-10,52,Like I Love Country Music,Kane Brown,Like I Love Country Music_Kane Brown
2022-09-10,53,Pink Venom,BLACKPINK,Pink Venom_BLACKPINK
2022-09-10,54,Dah Dah DahDah,Nardo Wick,Dah Dah DahDah_Nardo Wick
2022-09-10,55,Juice WRLD Did,DJ Khaled Featuring Juice WRLD,Juice WRLD Did_DJ Khaled Featuring Juice WRLD
2022-09-10,56,Sticky,Drake,Sticky_Drake
2022-09-10,57,Keep Going,"DJ Khaled Featuring Lil Durk, 21 Savage & Roddy Ricch","Keep Going_DJ Khaled Featuring Lil Durk, 21 Savage & Roddy Ricch"
2022-09-10,58,Bones,Imagine Dragons,Bones_Imagine Dragons
2022-09-10,59,Victoria's Secret,Jax,Victoria's Secret_Jax
2022-09-10,60,Hot Shit,"Cardi B, Ye & Lil Durk","Hot Shit_Cardi B, Ye & Lil Durk"
2022-09-10,61,Free Mind,Tems,Free Mind_Tems
2022-09-10,62,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,Sleazy Flow_SleazyWorld Go Featuring Lil Baby
2022-09-10,63,So Good,Halsey,So Good_Halsey
2022-09-10,64,With A Woman You Love,Justin Moore,With A Woman You Love_Justin Moore
2022-09-10,65,Party,Bad Bunny & Rauw Alejandro,Party_Bad Bunny & Rauw Alejandro
2022-09-10,66,Party,DJ Khaled Featuring Quavo & Takeoff,Party_DJ Khaled Featuring Quavo & Takeoff
2022-09-10,67,Last Last,Burna Boy,Last Last_Burna Boy
2022-09-10,68,Ojitos Lindos,Bad Bunny & Bomba Estereo,Ojitos Lindos_Bad Bunny & Bomba Estereo
2022-09-10,69,Die For You,The Weeknd & Ariana Grande,Die For You_The Weeknd & Ariana Grande
2022-09-10,70,Truth About You,Mitchell Tenpenny,Truth About You_Mitchell Tenpenny
2022-09-10,71,Golden Hour,JVKE,Golden Hour_JVKE
2022-09-10,72,Where It Ends,Bailey Zimmerman,Where It Ends_Bailey Zimmerman
2022-09-10,73,F.N.F. (Let's Go),Hitkidd & GloRilla,F.N.F. (Let's Go)_Hitkidd & GloRilla
2022-09-10,74,Despues de La Playa,Bad Bunny,Despues de La Playa_Bad Bunny
2022-09-10,75,Despecha,Rosalia,Despecha_Rosalia
2022-09-10,76,Alone,Rod Wave,Alone_Rod Wave
2022-09-10,77,It Ain't Safe,DJ Khaled Featuring Nardo Wick & Kodak Black,It Ain't Safe_DJ Khaled Featuring Nardo Wick & Kodak Black
2022-09-10,78,No Secret,DJ Khaled Featuring Drake,No Secret_DJ Khaled Featuring Drake
2022-09-10,79,Neverita,Bad Bunny,Neverita_Bad Bunny
2022-09-10,80,Pick Me Up,Gabby Barrett,Pick Me Up_Gabby Barrett
2022-09-10,81,I'm Good (Blue),David Guetta & Bebe Rexha,I'm Good (Blue)_David Guetta & Bebe Rexha
2022-09-10,82,Whiskey On You,Nate Smith,Whiskey On You_Nate Smith
2022-09-10,83,Tarot,Bad Bunny & Jhay Cortez,Tarot_Bad Bunny & Jhay Cortez
2022-09-10,84,She Likes It,Russell Dickerson & Jake Scott,She Likes It_Russell Dickerson & Jake Scott
2022-09-10,85,Ghost Story,Carrie Underwood,Ghost Story_Carrie Underwood
2022-09-10,86,Let's Pray,DJ Khaled Featuring Don Toliver & Travis Scott,Let's Pray_DJ Khaled Featuring Don Toliver & Travis Scott
2022-09-10,87,Until I Found You,Stephen Sanchez,Until I Found You_Stephen Sanchez
2022-09-10,88,All Mine,Brent Faiyaz,All Mine_Brent Faiyaz
2022-09-10,89,Bad Decisions,"benny blanco, BTS & Snoop Dogg","Bad Decisions_benny blanco, BTS & Snoop Dogg"
2022-09-10,90,Alien Superstar,Beyonce,Alien Superstar_Beyonce
2022-09-10,91,Puffin On Zootiez,Future,Puffin On Zootiez_Future
2022-09-10,92,Half Of Me,Thomas Rhett Featuring Riley Green,Half Of Me_Thomas Rhett Featuring Riley Green
2022-09-10,93,What My World Spins Around,Jordan Davis,What My World Spins Around_Jordan Davis
2022-09-10,94,Hotel Lobby (Unc And Phew),Quavo & Takeoff,Hotel Lobby (Unc And Phew)_Quavo & Takeoff
2022-09-10,95,La Bachata,Manuel Turizo,La Bachata_Manuel Turizo
2022-09-10,96,Thought You Should Know,Morgan Wallen,Thought You Should Know_Morgan Wallen
2022-09-10,97,2 Be Loved (Am I Ready),Lizzo,2 Be Loved (Am I Ready)_Lizzo
2022-09-10,98,Wait In The Truck,HARDY Featuring Lainey Wilson,Wait In The Truck_HARDY Featuring Lainey Wilson
2022-09-10,99,La Corriente,Bad Bunny & Tony Dize,La Corriente_Bad Bunny & Tony Dize
2022-09-10,100,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52_Bizarrap & Quevedo"
2022-09-03,1,As It Was,Harry Styles,As It Was_Harry Styles
2022-09-03,2,About Damn Time,Lizzo,About Damn Time_Lizzo
2022-09-03,3,Bad Habit,Steve Lacy,Bad Habit_Steve Lacy
2022-09-03,4,Running Up That Hill (A Deal With God),Kate Bush,Running Up That Hill (A Deal With God)_Kate Bush
2022-09-03,5,Break My Soul,Beyonce,Break My Soul_Beyonce
2022-09-03,6,Sunroof,Nicky Youre & dazy,Sunroof_Nicky Youre & dazy
2022-09-03,7,Super Freaky Girl,Nicki Minaj,Super Freaky Girl_Nicki Minaj
2022-09-03,8,Wait For U,Future Featuring Drake & Tems,Wait For U_Future Featuring Drake & Tems
2022-09-03,9,Me Porto Bonito,Bad Bunny & Chencho Corleone,Me Porto Bonito_Bad Bunny & Chencho Corleone
2022-09-03,10,I Like You (A Happier Song),Post Malone Featuring Doja Cat,I Like You (A Happier Song)_Post Malone Featuring Doja Cat
2022-09-03,11,Late Night Talking,Harry Styles,Late Night Talking_Harry Styles
2022-09-03,12,I Ain't Worried,OneRepublic,I Ain't Worried_OneRepublic
2022-09-03,13,You Proof,Morgan Wallen,You Proof_Morgan Wallen
2022-09-03,14,Titi Me Pregunto,Bad Bunny,Titi Me Pregunto_Bad Bunny
2022-09-03,15,The Kind Of Love We Make,Luke Combs,The Kind Of Love We Make_Luke Combs
2022-09-03,16,First Class,Jack Harlow,First Class_Jack Harlow
2022-09-03,17,Heat Waves,Glass Animals,Heat Waves_Glass Animals
2022-09-03,18,She Had Me At Heads Carolina,Cole Swindell,She Had Me At Heads Carolina_Cole Swindell
2022-09-03,19,Wasted On You,Morgan Wallen,Wasted On You_Morgan Wallen
2022-09-03,20,Jimmy Cooks,Drake Featuring 21 Savage,Jimmy Cooks_Drake Featuring 21 Savage
2022-09-03,21,Stay,The Kid LAROI & Justin Bieber,Stay_The Kid LAROI & Justin Bieber
2022-09-03,22,Pink Venom,BLACKPINK,Pink Venom_BLACKPINK
2022-09-03,23,Vegas,Doja Cat,Vegas_Doja Cat
2022-09-03,24,5 Foot 9,Tyler Hubbard,5 Foot 9_Tyler Hubbard
2022-09-03,25,Moscow Mule,Bad Bunny,Moscow Mule_Bad Bunny
2022-09-03,26,Glimpse Of Us,Joji,Glimpse Of Us_Joji
2022-09-03,27,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,Staying Alive_DJ Khaled Featuring Drake & Lil Baby
2022-09-03,28,Big Energy,Latto,Big Energy_Latto
2022-09-03,29,Rock And A Hard Place,Bailey Zimmerman,Rock And A Hard Place_Bailey Zimmerman
2022-09-03,30,Ghost,Justin Bieber,Ghost_Justin Bieber
2022-09-03,31,Shivers,Ed Sheeran,Shivers_Ed Sheeran
2022-09-03,32,Where It Ends,Bailey Zimmerman,Where It Ends_Bailey Zimmerman
2022-09-03,33,In A Minute,Lil Baby,In A Minute_Lil Baby
2022-09-03,34,Last Night Lonely,Jon Pardi,Last Night Lonely_Jon Pardi
2022-09-03,35,Efecto,Bad Bunny,Efecto_Bad Bunny
2022-09-03,36,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix)_Elton John & Dua Lipa
2022-09-03,37,Like I Love Country Music,Kane Brown,Like I Love Country Music_Kane Brown
2022-09-03,38,Fall In Love,Bailey Zimmerman,Fall In Love_Bailey Zimmerman
2022-09-03,39,Betty (Get Money),Yung Gravy,Betty (Get Money)_Yung Gravy
2022-09-03,40,Son Of A Sinner,Jelly Roll,Son Of A Sinner_Jelly Roll
2022-09-03,41,Numb Little Bug,Em Beihold,Numb Little Bug_Em Beihold
2022-09-03,42,Something In The Orange,Zach Bryan,Something In The Orange_Zach Bryan
2022-09-03,43,Provenza,Karol G,Provenza_Karol G
2022-09-03,44,Left And Right,Charlie Puth Featuring Jung Kook,Left And Right_Charlie Puth Featuring Jung Kook
2022-09-03,45,Numb,Marshmello & Khalid,Numb_Marshmello & Khalid
2022-09-03,46,Sticky,Drake,Sticky_Drake
2022-09-03,47,Alone,Rod Wave,Alone_Rod Wave
2022-09-03,48,Dah Dah DahDah,Nardo Wick,Dah Dah DahDah_Nardo Wick
2022-09-03,49,Hot Shit,"Cardi B, Ye & Lil Durk","Hot Shit_Cardi B, Ye & Lil Durk"
2022-09-03,50,Super Gremlin,Kodak Black,Super Gremlin_Kodak Black
2022-09-03,51,Bones,Imagine Dragons,Bones_Imagine Dragons
2022-09-03,52,Victoria's Secret,Jax,Victoria's Secret_Jax
2022-09-03,53,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,Sleazy Flow_SleazyWorld Go Featuring Lil Baby
2022-09-03,54,So Good,Halsey,So Good_Halsey
2022-09-03,55,Unstoppable,Sia,Unstoppable_Sia
2022-09-03,56,Free Mind,Tems,Free Mind_Tems
2022-09-03,57,Party,Bad Bunny & Rauw Alejandro,Party_Bad Bunny & Rauw Alejandro
2022-09-03,58,F.N.F. (Let's Go),Hitkidd & GloRilla,F.N.F. (Let's Go)_Hitkidd & GloRilla
2022-09-03,59,Ojitos Lindos,Bad Bunny & Bomba Estereo,Ojitos Lindos_Bad Bunny & Bomba Estereo
2022-09-03,60,Bad Decisions,"benny blanco, BTS & Snoop Dogg","Bad Decisions_benny blanco, BTS & Snoop Dogg"
2022-09-03,61,Despues de La Playa,Bad Bunny,Despues de La Playa_Bad Bunny
2022-09-03,62,Wishful Drinking,Ingrid Andress With Sam Hunt,Wishful Drinking_Ingrid Andress With Sam Hunt
2022-09-03,63,Last Last,Burna Boy,Last Last_Burna Boy
2022-09-03,64,With A Woman You Love,Justin Moore,With A Woman You Love_Justin Moore
2022-09-03,65,Truth About You,Mitchell Tenpenny,Truth About You_Mitchell Tenpenny
2022-09-03,66,Whiskey On You,Nate Smith,Whiskey On You_Nate Smith
2022-09-03,67,Despecha,Rosalia,Despecha_Rosalia
2022-09-03,68,Tarot,Bad Bunny & Jhay Cortez,Tarot_Bad Bunny & Jhay Cortez
2022-09-03,69,Pick Me Up,Gabby Barrett,Pick Me Up_Gabby Barrett
2022-09-03,70,Alien Superstar,Beyonce,Alien Superstar_Beyonce
2022-09-03,71,Die For You,The Weeknd & Ariana Grande,Die For You_The Weeknd & Ariana Grande
2022-09-03,72,Neverita,Bad Bunny,Neverita_Bad Bunny
2022-09-03,73,She Likes It,Russell Dickerson & Jake Scott,She Likes It_Russell Dickerson & Jake Scott
2022-09-03,74,Ghost Story,Carrie Underwood,Ghost Story_Carrie Underwood
2022-09-03,75,At The End Of A Bar,Chris Young With Mitchell Tenpenny,At The End Of A Bar_Chris Young With Mitchell Tenpenny
2022-09-03,76,Until I Found You,Stephen Sanchez,Until I Found You_Stephen Sanchez
2022-09-03,77,Puffin On Zootiez,Future,Puffin On Zootiez_Future
2022-09-03,78,Yungen,Rod Wave Featuring Jack Harlow,Yungen_Rod Wave Featuring Jack Harlow
2022-09-03,79,All Mine,Brent Faiyaz,All Mine_Brent Faiyaz
2022-09-03,80,Hotel Lobby (Unc And Phew),Quavo & Takeoff,Hotel Lobby (Unc And Phew)_Quavo & Takeoff
2022-09-03,81,Thought You Should Know,Morgan Wallen,Thought You Should Know_Morgan Wallen
2022-09-03,82,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52_Bizarrap & Quevedo"
2022-09-03,83,Cooped Up,Post Malone Featuring Roddy Ricch,Cooped Up_Post Malone Featuring Roddy Ricch
2022-09-03,84,Wild As Her,Corey Kent,Wild As Her_Corey Kent
2022-09-03,85,Country On,Luke Bryan,Country On_Luke Bryan
2022-09-03,86,What My World Spins Around,Jordan Davis,What My World Spins Around_Jordan Davis
2022-09-03,87,La Corriente,Bad Bunny & Tony Dize,La Corriente_Bad Bunny & Tony Dize
2022-09-03,88,54321,Offset,54321_Offset
2022-09-03,89,Un Ratito,Bad Bunny,Un Ratito_Bad Bunny
2022-09-03,90,Don't Come Lookin',Jackson Dean,Don't Come Lookin'_Jackson Dean
2022-09-03,91,Cuff It,Beyonce,Cuff It_Beyonce
2022-09-03,92,Half Of Me,Thomas Rhett Featuring Riley Green,Half Of Me_Thomas Rhett Featuring Riley Green
2022-09-03,93,Music For A Sushi Restaurant,Harry Styles,Music For A Sushi Restaurant_Harry Styles
2022-09-03,94,Sweet Little Lies,Rod Wave,Sweet Little Lies_Rod Wave
2022-09-03,95,2 Be Loved (Am I Ready),Lizzo,2 Be Loved (Am I Ready)_Lizzo
2022-09-03,96,29,Demi Lovato,29_Demi Lovato
2022-09-03,97,Snap,Rosa Linn,Snap_Rosa Linn
2022-09-03,98,Vette Motors,YoungBoy Never Broke Again,Vette Motors_YoungBoy Never Broke Again
2022-09-03,99,Soul,Lee Brice,Soul_Lee Brice
2022-09-03,100,La Bachata,Manuel Turizo,La Bachata_Manuel Turizo
2022-08-27,1,Super Freaky Girl,Nicki Minaj,Super Freaky Girl_Nicki Minaj
2022-08-27,2,As It Was,Harry Styles,As It Was_Harry Styles
2022-08-27,3,About Damn Time,Lizzo,About Damn Time_Lizzo
2022-08-27,4,Break My Soul,Beyonce,Break My Soul_Beyonce
2022-08-27,5,Running Up That Hill (A Deal With God),Kate Bush,Running Up That Hill (A Deal With God)_Kate Bush
2022-08-27,6,Bad Habit,Steve Lacy,Bad Habit_Steve Lacy
2022-08-27,7,Sunroof,Nicky Youre & dazy,Sunroof_Nicky Youre & dazy
2022-08-27,8,Wait For U,Future Featuring Drake & Tems,Wait For U_Future Featuring Drake & Tems
2022-08-27,9,Me Porto Bonito,Bad Bunny & Chencho Corleone,Me Porto Bonito_Bad Bunny & Chencho Corleone
2022-08-27,10,I Like You (A Happier Song),Post Malone Featuring Doja Cat,I Like You (A Happier Song)_Post Malone Featuring Doja Cat
2022-08-27,11,Late Night Talking,Harry Styles,Late Night Talking_Harry Styles
2022-08-27,12,First Class,Jack Harlow,First Class_Jack Harlow
2022-08-27,13,Heat Waves,Glass Animals,Heat Waves_Glass Animals
2022-08-27,14,The Kind Of Love We Make,Luke Combs,The Kind Of Love We Make_Luke Combs
2022-08-27,15,You Proof,Morgan Wallen,You Proof_Morgan Wallen
2022-08-27,16,Titi Me Pregunto,Bad Bunny,Titi Me Pregunto_Bad Bunny
2022-08-27,17,I Ain't Worried,OneRepublic,I Ain't Worried_OneRepublic
2022-08-27,18,She Had Me At Heads Carolina,Cole Swindell,She Had Me At Heads Carolina_Cole Swindell
2022-08-27,19,Wasted On You,Morgan Wallen,Wasted On You_Morgan Wallen
2022-08-27,20,Stay,The Kid LAROI & Justin Bieber,Stay_The Kid LAROI & Justin Bieber
2022-08-27,21,Alone,Rod Wave,Alone_Rod Wave
2022-08-27,22,Jimmy Cooks,Drake Featuring 21 Savage,Jimmy Cooks_Drake Featuring 21 Savage
2022-08-27,23,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,Staying Alive_DJ Khaled Featuring Drake & Lil Baby
2022-08-27,24,Big Energy,Latto,Big Energy_Latto
2022-08-27,25,Vegas,Doja Cat,Vegas_Doja Cat
2022-08-27,26,Moscow Mule,Bad Bunny,Moscow Mule_Bad Bunny
2022-08-27,27,Glimpse Of Us,Joji,Glimpse Of Us_Joji
2022-08-27,28,Ghost,Justin Bieber,Ghost_Justin Bieber
2022-08-27,29,Like I Love Country Music,Kane Brown,Like I Love Country Music_Kane Brown
2022-08-27,30,Shivers,Ed Sheeran,Shivers_Ed Sheeran
2022-08-27,31,Fall In Love,Bailey Zimmerman,Fall In Love_Bailey Zimmerman
2022-08-27,32,5 Foot 9,Tyler Hubbard,5 Foot 9_Tyler Hubbard
2022-08-27,33,Numb Little Bug,Em Beihold,Numb Little Bug_Em Beihold
2022-08-27,34,In A Minute,Lil Baby,In A Minute_Lil Baby
2022-08-27,35,Yungen,Rod Wave Featuring Jack Harlow,Yungen_Rod Wave Featuring Jack Harlow
2022-08-27,36,Last Night Lonely,Jon Pardi,Last Night Lonely_Jon Pardi
2022-08-27,37,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix)_Elton John & Dua Lipa
2022-08-27,38,Efecto,Bad Bunny,Efecto_Bad Bunny
2022-08-27,39,Rock And A Hard Place,Bailey Zimmerman,Rock And A Hard Place_Bailey Zimmerman
2022-08-27,40,Left And Right,Charlie Puth Featuring Jung Kook,Left And Right_Charlie Puth Featuring Jung Kook
2022-08-27,41,Sticky,Drake,Sticky_Drake
2022-08-27,42,Something In The Orange,Zach Bryan,Something In The Orange_Zach Bryan
2022-08-27,43,Provenza,Karol G,Provenza_Karol G
2022-08-27,44,Get Into It (Yuh),Doja Cat,Get Into It (Yuh)_Doja Cat
2022-08-27,45,Betty (Get Money),Yung Gravy,Betty (Get Money)_Yung Gravy
2022-08-27,46,Son Of A Sinner,Jelly Roll,Son Of A Sinner_Jelly Roll
2022-08-27,47,Numb,Marshmello & Khalid,Numb_Marshmello & Khalid
2022-08-27,48,Never Get Over Me,Rod Wave,Never Get Over Me_Rod Wave
2022-08-27,49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,Sweetest Pie_Megan Thee Stallion & Dua Lipa
2022-08-27,50,Super Gremlin,Kodak Black,Super Gremlin_Kodak Black
2022-08-27,51,Sweet Little Lies,Rod Wave,Sweet Little Lies_Rod Wave
2022-08-27,52,Take My Name,Parmalee,Take My Name_Parmalee
2022-08-27,53,F.N.F. (Let's Go),Hitkidd & GloRilla,F.N.F. (Let's Go)_Hitkidd & GloRilla
2022-08-27,54,Hot Shit,"Cardi B, Ye & Lil Durk","Hot Shit_Cardi B, Ye & Lil Durk"
2022-08-27,55,Party,Bad Bunny & Rauw Alejandro,Party_Bad Bunny & Rauw Alejandro
2022-08-27,56,Damn Strait,Scotty McCreery,Damn Strait_Scotty McCreery
2022-08-27,57,Bad Decisions,"benny blanco, BTS & Snoop Dogg","Bad Decisions_benny blanco, BTS & Snoop Dogg"
2022-08-27,58,Forever,Rod Wave,Forever_Rod Wave
2022-08-27,59,Ojitos Lindos,Bad Bunny & Bomba Estereo,Ojitos Lindos_Bad Bunny & Bomba Estereo
2022-08-27,60,Bones,Imagine Dragons,Bones_Imagine Dragons
2022-08-27,61,So Good,Halsey,So Good_Halsey
2022-08-27,62,Her,Megan Thee Stallion,Her_Megan Thee Stallion
2022-08-27,63,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,Sleazy Flow_SleazyWorld Go Featuring Lil Baby
2022-08-27,64,Victoria's Secret,Jax,Victoria's Secret_Jax
2022-08-27,65,Despues de La Playa,Bad Bunny,Despues de La Playa_Bad Bunny
2022-08-27,66,Stone Rolling,Rod Wave,Stone Rolling_Rod Wave
2022-08-27,67,Alien Superstar,Beyonce,Alien Superstar_Beyonce
2022-08-27,68,Unstoppable,Sia,Unstoppable_Sia
2022-08-27,69,Free Mind,Tems,Free Mind_Tems
2022-08-27,70,Wishful Drinking,Ingrid Andress With Sam Hunt,Wishful Drinking_Ingrid Andress With Sam Hunt
2022-08-27,71,No Deal,Rod Wave,No Deal_Rod Wave
2022-08-27,72,Dah Dah DahDah,Nardo Wick,Dah Dah DahDah_Nardo Wick
2022-08-27,73,Whiskey On You,Nate Smith,Whiskey On You_Nate Smith
2022-08-27,74,I Know It,Rod Wave,I Know It_Rod Wave
2022-08-27,75,Last Last,Burna Boy,Last Last_Burna Boy
2022-08-27,76,Tarot,Bad Bunny & Jhay Cortez,Tarot_Bad Bunny & Jhay Cortez
2022-08-27,77,With A Woman You Love,Justin Moore,With A Woman You Love_Justin Moore
2022-08-27,78,At The End Of A Bar,Chris Young With Mitchell Tenpenny,At The End Of A Bar_Chris Young With Mitchell Tenpenny
2022-08-27,79,Truth About You,Mitchell Tenpenny,Truth About You_Mitchell Tenpenny
2022-08-27,80,Pressurelicious,Megan Thee Stallion Featuring Future,Pressurelicious_Megan Thee Stallion Featuring Future
2022-08-27,81,Cuff It,Beyonce,Cuff It_Beyonce
2022-08-27,82,Ungrateful,Megan Thee Stallion Featuring Key Glock,Ungrateful_Megan Thee Stallion Featuring Key Glock
2022-08-27,83,Pick Me Up,Gabby Barrett,Pick Me Up_Gabby Barrett
2022-08-27,84,She Likes It,Russell Dickerson & Jake Scott,She Likes It_Russell Dickerson & Jake Scott
2022-08-27,85,Despecha,Rosalia,Despecha_Rosalia
2022-08-27,86,Pieces,Rod Wave,Pieces_Rod Wave
2022-08-27,87,Budget,Megan Thee Stallion Featuring Latto,Budget_Megan Thee Stallion Featuring Latto
2022-08-27,88,Ghost Story,Carrie Underwood,Ghost Story_Carrie Underwood
2022-08-27,89,Cooped Up,Post Malone Featuring Roddy Ricch,Cooped Up_Post Malone Featuring Roddy Ricch
2022-08-27,90,Rockstar Heart,Rod Wave,Rockstar Heart_Rod Wave
2022-08-27,91,Puffin On Zootiez,Future,Puffin On Zootiez_Future
2022-08-27,92,Until I Found You,Stephen Sanchez,Until I Found You_Stephen Sanchez
2022-08-27,93,Plan B,Megan Thee Stallion,Plan B_Megan Thee Stallion
2022-08-27,94,Thought You Should Know,Morgan Wallen,Thought You Should Know_Morgan Wallen
2022-08-27,95,Time Kills (Love Birds),Rod Wave,Time Kills (Love Birds)_Rod Wave
2022-08-27,96,Fading,Rod Wave,Fading_Rod Wave
2022-08-27,97,Church Girl,Beyonce,Church Girl_Beyonce
2022-08-27,98,Un Ratito,Bad Bunny,Un Ratito_Bad Bunny
2022-08-27,99,La Corriente,Bad Bunny & Tony Dize,La Corriente_Bad Bunny & Tony Dize
2022-08-27,100,What My World Spins Around,Jordan Davis,What My World Spins Around_Jordan Davis
2022-08-20,1,Break My Soul,Beyonce,Break My Soul_Beyonce
2022-08-20,2,As It Was,Harry Styles,As It Was_Harry Styles
2022-08-20,3,About Damn Time,Lizzo,About Damn Time_Lizzo
2022-08-20,4,Running Up That Hill (A Deal With God),Kate Bush,Running Up That Hill (A Deal With God)_Kate Bush
2022-08-20,5,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,Staying Alive_DJ Khaled Featuring Drake & Lil Baby
2022-08-20,6,Bad Habit,Steve Lacy,Bad Habit_Steve Lacy
2022-08-20,7,Wait For U,Future Featuring Drake & Tems,Wait For U_Future Featuring Drake & Tems
2022-08-20,8,Sunroof,Nicky Youre & dazy,Sunroof_Nicky Youre & dazy
2022-08-20,9,First Class,Jack Harlow,First Class_Jack Harlow
2022-08-20,10,Bad Decisions,"benny blanco, BTS & Snoop Dogg","Bad Decisions_benny blanco, BTS & Snoop Dogg"
2022-08-20,11,Me Porto Bonito,Bad Bunny & Chencho Corleone,Me Porto Bonito_Bad Bunny & Chencho Corleone
2022-08-20,12,Late Night Talking,Harry Styles,Late Night Talking_Harry Styles
2022-08-20,13,I Like You (A Happier Song),Post Malone Featuring Doja Cat,I Like You (A Happier Song)_Post Malone Featuring Doja Cat
2022-08-20,14,Heat Waves,Glass Animals,Heat Waves_Glass Animals
2022-08-20,15,The Kind Of Love We Make,Luke Combs,The Kind Of Love We Make_Luke Combs
2022-08-20,16,Titi Me Pregunto,Bad Bunny,Titi Me Pregunto_Bad Bunny
2022-08-20,17,Wasted On You,Morgan Wallen,Wasted On You_Morgan Wallen
2022-08-20,18,You Proof,Morgan Wallen,You Proof_Morgan Wallen
2022-08-20,19,I Ain't Worried,OneRepublic,I Ain't Worried_OneRepublic
2022-08-20,20,Stay,The Kid LAROI & Justin Bieber,Stay_The Kid LAROI & Justin Bieber
2022-08-20,21,Big Energy,Latto,Big Energy_Latto
2022-08-20,22,She Had Me At Heads Carolina,Cole Swindell,She Had Me At Heads Carolina_Cole Swindell
2022-08-20,23,Jimmy Cooks,Drake Featuring 21 Savage,Jimmy Cooks_Drake Featuring 21 Savage
2022-08-20,24,Glimpse Of Us,Joji,Glimpse Of Us_Joji
2022-08-20,25,Ghost,Justin Bieber,Ghost_Justin Bieber
2022-08-20,26,Moscow Mule,Bad Bunny,Moscow Mule_Bad Bunny
2022-08-20,27,Numb Little Bug,Em Beihold,Numb Little Bug_Em Beihold
2022-08-20,28,Like I Love Country Music,Kane Brown,Like I Love Country Music_Kane Brown
2022-08-20,29,Shivers,Ed Sheeran,Shivers_Ed Sheeran
2022-08-20,30,5 Foot 9,Tyler Hubbard,5 Foot 9_Tyler Hubbard
2022-08-20,31,Vegas,Doja Cat,Vegas_Doja Cat
2022-08-20,32,In A Minute,Lil Baby,In A Minute_Lil Baby
2022-08-20,33,Get Into It (Yuh),Doja Cat,Get Into It (Yuh)_Doja Cat
2022-08-20,34,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix)_Elton John & Dua Lipa
2022-08-20,35,Rock And A Hard Place,Bailey Zimmerman,Rock And A Hard Place_Bailey Zimmerman
2022-08-20,36,Sticky,Drake,Sticky_Drake
2022-08-20,37,Umm Hmm,YoungBoy Never Broke Again,Umm Hmm_YoungBoy Never Broke Again
2022-08-20,38,Fall In Love,Bailey Zimmerman,Fall In Love_Bailey Zimmerman
2022-08-20,39,Last Night Lonely,Jon Pardi,Last Night Lonely_Jon Pardi
2022-08-20,40,Efecto,Bad Bunny,Efecto_Bad Bunny
2022-08-20,41,Provenza,Karol G,Provenza_Karol G
2022-08-20,42,Something In The Orange,Zach Bryan,Something In The Orange_Zach Bryan
2022-08-20,43,Alien Superstar,Beyonce,Alien Superstar_Beyonce
2022-08-20,44,Super Gremlin,Kodak Black,Super Gremlin_Kodak Black
2022-08-20,45,Betty (Get Money),Yung Gravy,Betty (Get Money)_Yung Gravy
2022-08-20,46,I Know,YoungBoy Never Broke Again,I Know_YoungBoy Never Broke Again
2022-08-20,47,Home Ain't Home,YoungBoy Never Broke Again Featuring Rod Wave,Home Ain't Home_YoungBoy Never Broke Again Featuring Rod Wave
2022-08-20,48,Left And Right,Charlie Puth Featuring Jung Kook,Left And Right_Charlie Puth Featuring Jung Kook
2022-08-20,49,F.N.F. (Let's Go),Hitkidd & GloRilla,F.N.F. (Let's Go)_Hitkidd & GloRilla
2022-08-20,50,Cuff It,Beyonce,Cuff It_Beyonce
2022-08-20,51,Son Of A Sinner,Jelly Roll,Son Of A Sinner_Jelly Roll
2022-08-20,52,Damn Strait,Scotty McCreery,Damn Strait_Scotty McCreery
2022-08-20,53,Hot Shit,"Cardi B, Ye & Lil Durk","Hot Shit_Cardi B, Ye & Lil Durk"
2022-08-20,54,Take My Name,Parmalee,Take My Name_Parmalee
2022-08-20,55,Party,Bad Bunny & Rauw Alejandro,Party_Bad Bunny & Rauw Alejandro
